#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_NYMPHAEUM;Treaty of Nymphaeum;;;;;;;;;;;;;x
BM_NYMPHAEUM_DESC;The Treaty of Nymphaeum was a peace treaty signed between the Nicaean Empire, successor state of the Byzantine Empire, and the Latin Empire, which was established in the aftermath of the Fourth Crusade of 1204.;;;;;;;;;;;;;x
BM_EL_CID;El Cid Campeador;;;;;;;;;;;;;x
BM_EL_CID_DESC;"Rodrigo Dìaz de Vivar, also known as ""El Cid"", was a Castilian nobleman, military leader, and diplomat. Exiled from the court of the Spanish Emperor Alfonso VI of León and Castile, El Cid went on to command a Moorish force consisting of Muladis, Berbers, Arabs and Malians, under Yusuf al-Mu'taman ibn Hud, Moorish king of the northeast Al-Andalus city of Zaragoza, and his successor, Al-Mustein II. After the Christian defeat at the Battle of Sagrajas in 1086, El Cid was recalled to service by Alfonso VI, and commanded a combined Christian and Moorish army, which he used to create his own fiefdom in the Moorish Mediterranean coastal city of Valencia. Rodrigo Díaz was educated in the royal court of Castile and became the alférez, the chief general, of Alfonso VI, and his most valuable asset in the fight against the Moors.";;;;;;;;;;;;;x
BM_FOUNDING_OF_JERUSALEM;The Kingdom of Jerusalem;;;;;;;;;;;;;x
BM_FOUNDING_OF_JERUSALEM_DESC;The crusaders arrived at Jerusalem in June 1099, a few of the neighbouring towns (Ramla, Lydda, Bethlehem, and others) were taken first, and Jerusalem itself was captured on July 15. On 22 July, a council was held in the Church of the Holy Sepulchre to establish a king for the newly created Kingdom of Jerusalem. Raymond IV of Toulouse and Godfrey of Bouillon were recognized as the leaders of the crusade and the siege of Jerusalem. Raymond was the wealthier and more powerful of the two, but at first he refused to become king, perhaps attempting to show his piety and probably hoping that the other nobles would insist upon his election anyway..;;;;;;;;;;;;;x
BM_FOUNDING_OF_LATIN_EMPIRE;Founding of Latin Empire;;;;;;;;;;;;;x
BM_FOUNDING_OF_LATIN_EMPIRE_DESC;May 16th, 1204 AD. The Fourth Crusade originally preached by Pope Innocent III has ended in tragedy for the Eastern Roman Empire. Crusading forces, deep in debt to their Venetian financers, were successfully diverted from their target in Egypt to wealthy Constantinople, the capital of Byzantium, in order to sack the city and take over its trade routes. After the capture of the Roman heartland, the leaders of the crusade established a western catholic feudal crusader state in the conquered territory, called the Latin Empire of Constantinople, with the goal of supplanting as titular successors the shattered Byzantine Empire in the east. Today Baldwin I., count of Flanders, was crowned the first Latin emperor and the task he faces is enormous: Who will triumph in this struggle?;;;;;;;;;;;;;x
BM_KOMNENOS;The House of Komnenos;;;;;;;;;;;;;x
BM_KOMNENOS_DESC;"The Komnenos dynasty of Byzantine emperors was founded by Isaac I Komnenos, a Stratopedarch of the East under Michael VI. In 1057 Isaac led a coup against Michael and was proclaimed emperor. Although his reign lasted only till 1059, when he was pressured by his courtiers to abdicate and become a monk, Isaac initiated many useful reforms. The dynasty returned to the throne with the accession of Alexios I Komnenos, Isaac I's nephew, in 1081. By this time, descendants of all the previous dynasties of Byzantium seem to have disappeared from the realm, such as the important Scleros and Argyros families. Descendants of those emperors lived abroad, having married into the royal families of Georgia, Russia, France, Persia, Italy, Germany, Poland, Bulgaria, Hungary and Serbia; thus it was easier for the Komnenos family to ascend to the throne.";;;;;;;;;;;;;x
BM_INTERREGNUM;Interregnum;;;;;;;;;;;;;x
BM_INTERREGNUM_DESC;May 21st, 1254 AD. After the death of Holy Roman Emperor Frederik II of the House Hohenstaufen in 1250, one of the most powerful rulers the empire has ever seen has been replaced by a weak infant heir, his son Conrad IV, and the numerous enemies of the dynasty, chief among them the papacy, sense weakness. The German kingdom has been divided among Conrad and the anti-king Willhelm II of Holland, who both seem unable to stop the continuing disintegration of central rule as the independent-minded princes consolidate their holdings. Without a king capable of achieving universal recognition, the Holy Roman Empire has entered the Great Interregnum. In the shadow of the weak rulers, numerous contestants plot to lay claim to the throne - who shall emerge victoriously?;;;;;;;;;;;;;x
BM_MONGOLIAN_EMPIRE;The Mongol Empire;;;;;;;;;;;;;x
BM_MONGOLIAN_EMPIRE_DESC;In less than 80 years, a band of warriors originally comprised of several men grew to an empire that encompassed all from the Pacific Ocean to the Danube River. This story is about one of the most dramatic series conquests in history and how it was the Mongols themselves who shattered their own invincibility.;;;;;;;;;;;;;x
BM_WALK_TO_CANOSSA;The Walk to Canossa;;;;;;;;;;;;;x
BM_WALK_TO_CANOSSA_DESC;In 1075, right after the 'Dictatus Papae', Heinrich IV installed his chaplain, Tedald, as Bishop of Milan, when another priest of Milan, Atto, had already been chosen in Rome by the Pope for candidacy. In 1076 Gregory VII responded by excommunicating the king, removing him from the Church and deposing him as German king. German princes and the aristocracy used the cover of religion as an excuse to continue the rebellion started at the First Battle of Langensalza. Thus, because of these combining factors, Henry IV had no choice but to back down, needing time to marshal his forces to fight the rebellion. In 1077 he traveled to Canossa in northern Italy to meet the pope and apologize in person. As penance for his sins, and echoing his own punishment of the Saxons after the First Battle of Langensalza, he dramatically wore a hairshirt and stood in the snow barefoot in the middle of winter in what has become known as the Walk to Canossa...;;;;;;;;;;;;;x
BM_FRIEDRICH_BARBAROSSA;Friedrich I Barbarossa;;;;;;;;;;;;;x
BM_FRIEDRICH_BARBAROSSA_DESC;"Frederick I Barbarossa was a German Holy Roman Emperor. He was elected King of Germany at Frankfurt on 4 March 1152 and crowned in Aachen on 9 March, crowned King of Italy in Pavia in 1155, and finally crowned Roman Emperor by Pope Adrian IV, on 18 June 1155. He was then also formally crowned King of Burgundy at Arles on 30 June 1178. The name Barbarossa or Rotbart came from the northern Italian cities he attempted to rule, and means ""red beard"" in Italian – a mark of both their fear and respect..";;;;;;;;;;;;;x
BM_FIRST_CRUSADE;The First Crusade;;;;;;;;;;;;;x
BM_FIRST_CRUSADE_DESC;In March 1095, Alexios I sent envoys to the Council of Piacenza to ask Pope Urban II for aid against the Turks. Urban responded favourably, perhaps hoping to heal the Great Schism of forty years earlier, and to re-unite the Church under papal primacy by helping the Eastern churches in their time of need. In July 1095, Urban turned to his homeland of France to recruit men for the expedition. His travels there culminated in the Council of Clermont in November, where, according to the various speeches attributed to him, he gave an impassioned sermon to a large audience of French nobles and clergy, graphically detailing the fantastical atrocities being committed against pilgrims and eastern Christians. The enthusiastic crowd responded with cries of 'Deus vult'!;;;;;;;;;;;;;x
NM_BM_BLOTSVEIN;Blot-Sven;;;;;;;;;;;;;x
NM_BM_BLOTSVEIN_DESC;The pagan Sven Kol, commonly known as 'Blot-Sven', has been made King of Sweden after Inge the Older tried to outlaw the practice of Blot in Uppland, turning the Tings against him. Will Blot-Sven be able to bring back the Old Ways to Sweden, or will he perish against the christian Götlanders and the christian kings in Norway and Sweden?;;;;;;;;;;;;;x
BM_A_NEW_KING;A New King;A New King;A New King;;A New King;;;;;;;;;x
