#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
serbian_building_1;Small Husar Cavalry Bands;;;;;;;;;;;;;x
serbian_building_2;Small Husar Cavalry Grounds;;;;;;;;;;;;;x
serbian_building_3;Organized Husar Cavalry Grounds;;;;;;;;;;;;;x
serbian_building_4;Massed Husar Training Grounds;;;;;;;;;;;;;x
ca_culture_hungarian_1;Magyar Light Cavalry Grounds;;;;;;;;;;;;;x
ca_culture_hungarian_2;Settled Nomad Host Lands;;;;;;;;;;;;;x
ca_culture_hungarian_3;Settled Cuman Lands;;;;;;;;;;;;;x
ca_culture_hungarian_4;Settled Szekely Lands;;;;;;;;;;;;;x
sicilian_building_1;Local Saracen Bowmen Recruitment;;;;;;;;;;;;;x
sicilian_building_2;Rural Saracen Archery Range;;;;;;;;;;;;;x
sicilian_building_3;Urban Saracen Archery Range;;;;;;;;;;;;;x
sicilian_building_4;Permanent Saracen Archer Detachment;;;;;;;;;;;;;x
dutch_building_1;Flemish Pike Levy;;;;;;;;;;;;;x
dutch_building_2;Flemish Pike Grounds;;;;;;;;;;;;;x
dutch_building_3;Urban Flemish Pike Grounds;;;;;;;;;;;;;x
dutch_building_4;Flemish Pikeman Barracks;;;;;;;;;;;;;x
bulgarian_building_1;Small Bulgarian Horseman Grounds;;;;;;;;;;;;;x
bulgarian_building_2;Medium Bulgarian Horseman Grounds;;;;;;;;;;;;;x
bulgarian_building_3;Reformed Bulgarian Cavalry Grounds;;;;;;;;;;;;;x
bulgarian_building_4;Grand Bulgarian Cavalry Grounds;;;;;;;;;;;;;x
polish_building_1;Petty Lords Gathering;;;;;;;;;;;;;x
polish_building_2;Minor Lords Gathering;;;;;;;;;;;;;x
polish_building_3;Vassal Lords Gathering Grounds;;;;;;;;;;;;;x
polish_building_4;King's Personal Retinue;;;;;;;;;;;;;x
caucasus_building_1;Caucasian Warrior Camp;;;;;;;;;;;;;x
caucasus_building_2;Caucasian Infantry Grounds;;;;;;;;;;;;;x
caucasus_building_3;Caucasian Armoury;;;;;;;;;;;;;x
caucasus_building_4;Great Caucasian Warrior Host;;;;;;;;;;;;;x
irish_building_1;Ceithern Recruitment Center;;;;;;;;;;;;;x
irish_building_2;Gallóglaigh Support;;;;;;;;;;;;;x
irish_building_3;Heavy Gallóglaigh Training;;;;;;;;;;;;;x
irish_building_4;Royal Gallóglaigh Barracks;;;;;;;;;;;;;x
greek_building_1;Castle Study;;;;;;;;;;;;;x
greek_building_2;Castle Library;;;;;;;;;;;;;x
greek_building_3;Castle Archives;;;;;;;;;;;;;x
greek_building_4;Royal Archives;;;;;;;;;;;;;x
north_german_building_1;Small Húskarlar Training Ground;;;;;;;;;;;;;x
north_german_building_2;Medium Húskarlar Training Ground;;;;;;;;;;;;;x
north_german_building_3;Large Húskarlar Training Ground;;;;;;;;;;;;;x
north_german_building_4;Royal Húskarlar Training Ground;;;;;;;;;;;;;x
ca_culture_group_maghreb_1;Small Riding Grounds;;;;;;;;;;;;;x
ca_culture_group_maghreb_2;Medium Riding Grounds;;;;;;;;;;;;;x
