#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
coronation;Request Papal Coronation;;;;;;;;;;;;;x
coronation_desc;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the Most Pious [Root.GetTitledFirstName], which further legitimises your rule.;;;;;;;;;;;;;x
abdicate;Abdicate the Throne;;;;;;;;;;;;;x
Pope_coronation;Papal coronation;;;;;;;;;;;;;x
Pope_coronation_desc;Enacting this decision will result in a request to the Pope for a coronation ceremony to be held at Rome in honour of [Root.GetTitledFirstName]. This will allow [Root.GetTitledFirstName] to become crowned and blessed by the Pope and extend your authority as the ruler of your own kingdom, which further legitimises your rule.;;;;;;;;;;;;;x
employ_steward;Invite Steward to Court;;;;;;;;;;;;;x
employ_steward_desc;Invite a promising nobleman to court, to aid with matters of administration.;;;;;;;;;;;;;x
employ_chancellor;Invite Chancellor to Court;;;;;;;;;;;;;x
employ_chancellor_desc;Invite a promising nobleman to court, to aid with diplomatic affairs.;;;;;;;;;;;;;x
employ_marshal;Invite Marshal to Court;;;;;;;;;;;;;x
employ_marshal_desc;Invite a promising nobleman to court, to help train your armies.;;;;;;;;;;;;;x
employ_spymaster;Invite Spymaster to Court;;;;;;;;;;;;;x
employ_spymaster_desc;Invite a promising nobleman to court, to help run your spy network.;;;;;;;;;;;;;x
extra_tax_levy;Request Contribution;;;;;;;;;;;;;x
extra_tax_levy_desc;We can try to levy an additional one time tax from all the vassals in the realm, at the expense of some prestige and relationship with our vassals;;;;;;;;;;;;;x
TAXCONTRIBUTIONTITLE;Extra Tax Contribution;;;;;;;;;;;;;x
king_coronation;Monarch Coronation;;;;;;;;;;;;;x
king_coronation_desc;This monarch wants to be crowned in front of his fellow vassals.;;;;;;;;;;;;;x
get_concubine;Get a Concubine;;;;;;;;;;;;;x
get_concubine_desc;Take a beautiful and young daughter of your realm as your concubine, inviting her at court.;;;;;;;;;;;;;x
get_toyboy;Get a Lover;;;;;;;;;;;;;x
get_toyboy_desc;Take an handsome and young son of your realm as your lover, inviting him at court.;;;;;;;;;;;;;x
switch_allegiance;Switch Allegiance;;;;;;;;;;;;;x
switch_allegiance_desc;Switch allegiance in the Investiture Contest between the Pope and the Holy Roman Emperor.;;;;;;;;;;;;;x
switch_allegiance2;Switch Allegiance;;;;;;;;;;;;;x
switch_allegiance2_desc;Switch allegiance in the Investiture Contest between the Pope and the Holy Roman Emperor.;;;;;;;;;;;;;x
tribute_to_caliphate;Pay Tribute to the Caliphate;;;;;;;;;;;;;x
tribute_to_caliphate_desc;However galling to admit, we are threatened by the heathens on our borders.  If we acknowledge their strength and pay them tribute, it may forestall outright invasion.;;;;;;;;;;;;;x
cease_tribute_to_caliphate;End Tribute;;;;;;;;;;;;;x
cease_tribute_to_caliphate_desc;Enough of this insulting tribute!  We will pay it no longer!;;;;;;;;;;;;;x
estabilish_exchequer_of_pleas;Estabilish the Exchequer of Pleas;;;;;;;;;;;;;x
estabilish_exchequer_of_pleas_desc;The Exchequer of Pleas or Court of Exchequer is a court that deals with matters of equity, a set of legal principles based on natural law and common law in England and Wales.;;;;;;;;;;;;;x
estabilish_court_of_common_pleas;Estabilish the Court of Common Pleas;;;;;;;;;;;;;x
estabilish_court_of_common_pleas_desc;"The Court of Common Pleas is a common law court in the English legal system that covers ""common pleas"": actions between subject and subject, which do not concern the king.";;;;;;;;;;;;;x
estabilish_charter_of_the_forest;Issue the Charter of the Forest;;;;;;;;;;;;;x
estabilish_charter_of_the_forest_desc;The Charter of the Forest is a charter that re-establishes rights of access to the royal forest for free men.;;;;;;;;;;;;;x
estabilish_magna_carta;Issue the Magna Carta Libertatum;;;;;;;;;;;;;x
estabilish_magna_carta_desc;"The Magna Carta Libertatum is an English charter issued by the monarch who proclaims certain liberties, for example by explicitly accepting that no ""freeman"" can be punished except through the law of the land, and through some other concessions to the monarch's fellow subjects aimed at preserving and sometimes increasing their privileges. It is one of the first examples of a national statue or constitution.";;;;;;;;;;;;;x
expel_jews;Expel the Jews;;;;;;;;;;;;;x
expel_jews_desc;Issue an edict promoting the expulsion of all the Jews of the realm.;;;;;;;;;;;;;x
take_loan;Take a Loan;;;;;;;;;;;;;x
take_loan_desc;Go to the local Jewish community's moneylenders to ask for a loan with favorable terms.;;;;;;;;;;;;;x
estabilish_exchequer_of_the_jews;Estabilish the Exchequer of the Jews;;;;;;;;;;;;;x
estabilish_exchequer_of_the_jews_desc;The Exchequer of the Jews (Latin: Scaccarium Judaeorum) was a division of the Court of Exchequer at Westminster, which recorded and regulated the taxes and the law-cases of the Jews in England.;;;;;;;;;;;;;x
make_royal_entry;Make a Royal Entry;;;;;;;;;;;;;x
make_royal_entry_desc;The Royal Entry, also known by various other names, including Triumphal Entry and Joyous Entry, embraced the ceremonial and festivities accompanying a formal entry by a ruler or his representative into an important city (often the capital) in the Middle Ages and Early Modern Period in Europe. The entry centred on a procession carrying the entering prince into the city, where he was greeted and paid appropriate homage by the civic authorities. A feast and other celebrations would follow.;;;;;;;;;;;;;x
estabilish_imperial_diet;Estabilish the Imperial Diet;;;;;;;;;;;;;x
estabilish_imperial_diet_desc;The Imperial Diet was the Diet, or general assembly, of the Imperial Estates of the Holy Roman Empire.;;;;;;;;;;;;;x
estabilish_estates_general;Estabilish the Estates General;;;;;;;;;;;;;x
estabilish_estates_general_desc;The Estates General was a legislative assembly of the different classes of French subjects. It had a separate assembly for each of the three estates, which were called and dismissed by the king. It had no true power in its own right—unlike the English parliament it was not required to approve royal taxation or legislation instead it functioned as an advisory body to the king, primarily by presenting petitions from the various estates and consulting on fiscal policy.;;;;;;;;;;;;;x
estabilish_estates_of_parliament;Estabilish the Estates of Parliament;;;;;;;;;;;;;x
estabilish_estates_of_parliament_desc;The Estates of Parliament was the legislature of the Kingdom of Alba or Scotland. The parliament, which is also referred to as the Estates of Scotland, the Community of the Realm, the Three Estates (Scots: Thrie Estaitis), the Scots Parliament or the auld Scots Parliament (English: old), met until prorogued sine die at the time of the Acts of Union in 1707. Thereafter the Parliament of Great Britain operated for both England and Scotland.;;;;;;;;;;;;;x
estabilish_estates_generales;Estabilish the Cortes Generales;;;;;;;;;;;;;x
estabilish_estates_generales_desc;"The Cortes Generales is the legislature of Spain. The system of Cortes arose in the Middle Ages as part of feudalism. A ""Corte"" was an advisory council made up of the most powerful feudal lords closest to the king. ";;;;;;;;;;;;;x
estabilish_sabor_parliament;Estabilish the Sabor;;;;;;;;;;;;;x
estabilish_sabor_parliament_desc;The Sabor was the legislature of Croatia.;;;;;;;;;;;;;x
arrest_the_templars_france;Arrest the Templars;;;;;;;;;;;;;x
arrest_the_templars_france_desc;Arrest the Templars as heretics and seize their wealth and holdings.;;;;;;;;;;;;;x
arrest_templars;Begin the plot;;;;;;;;;;;;;x
donation_to_the_patriarch;Make a Donation to the Patriarch.;;;;;;;;;;;;;x
donation_to_the_patriarch_desc;Make a monetary donation to the Orthodox Patriarch, he will surely appreciate it and reward us with respect and sanctity.;;;;;;;;;;;;;x
estabilish_siete_partidas;Estabilish the Siete Partidas;;;;;;;;;;;;;x
estabilish_siete_partidas_desc;The Siete Partidas was a Castilian statutory code with the intent of establishing a uniform body of normative rules for the kingdom. The codified and compiled text was originally called the Libro de las Leyes. It was not until the 14th century that it was given its present name, referring to the number of sections into which it is divided.;;;;;;;;;;;;;x
estabilish_statute_of_merton;Estabilish the Statute of Merton;;;;;;;;;;;;;x
estabilish_statute_of_merton_desc;The Statute of Merton is considered to be the first English statute, and is printed as the first statute in The Statutes of the Realm. Amongst its provisions, the statute allowed a Lord of the Manor to enclose common land (provided that sufficient pasture remained for his tenants), and set out when and how manorial lords could assert rights over waste land, woods, and pastures against their tenants.;;;;;;;;;;;;;x
estabilish_quia_emptores;Estabilish the Quia Emptores;;;;;;;;;;;;;x
estabilish_quia_emptores_desc;Quia Emptores was a statute that prevented tenants from alienating their lands to others by subinfeudation, instead requiring all tenants wishing to alienate their land to do so by substitution. Quia Emptores, along with its companion statute of Quo Warranto, was intended to remedy land ownership disputes and consequent financial difficulties that had resulted from the decline of the traditional feudal system during the High Middle Ages.;;;;;;;;;;;;;x
estabilish_ius_primae_noctis_1;Enact the Ius Primae Noctis;;;;;;;;;;;;;x
estabilish_ius_primae_noctis_1_desc;The Ius Primae Noctis was a feudal right said to have existed in medieval Europe giving the lord to whom it belonged the right to sleep the first night with the bride of any one of his subjects.;;;;;;;;;;;;;x
abdicate_desc;Abdicate the Throne to your Heir;;;;;;;;;;;;;x
ball_0;Host a Great Ball;;;;;;;;;;;;;x
ball_0_desc;Host a Great Ball at court, inviting all of your vassals and courtiers to the event.;;;;;;;;;;;;;x
knight_son_bribe_septon;Buy Knighthood for [This.GetBestName];;;;;;;;;;;;;x
knight_son_bribe_septon_desc;Bribe a lord to knight [This.GetBestName].;;;;;;;;;;;;;x
knight_son;Knight [This.GetBestName];;;;;;;;;;;;;x
knight_son_desc;[This.GetBestName] has proven himself to be a fine warrior. Perhaps we should officially recognize his skill.;;;;;;;;;;;;;x
knight_daughter;Knight [This.GetBestName];;;;;;;;;;;;;x
buy_knighthood;Buy Knighthood;;;;;;;;;;;;;x
buy_knighthood_desc;Bribe a lord to knight [Root.GetBestName];;;;;;;;;;;;;x
employ_cityguard;Establish a Personal Guard;;;;;;;;;;;;;x
employ_cityguard_desc;Hire a group of loyal soldiers to create a personal household guard;;;;;;;;;;;;;x
disband_cityguard;Disband your Personal Guard;;;;;;;;;;;;;x
disband_cityguard_desc;Disband your Personal Guard.;;;;;;;;;;;;;x
cityguard_menu;Command your Personal Guard;;;;;;;;;;;;;x
cityguard_menu_desc;Give orders to your men;;;;;;;;;;;;;x
hold_a_epic_tournament;Host the Grand Tourney of [Root.Capital.GetName];;;;;;;;;;;;;x
hold_a_epic_tournament_desc;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];;;;;;;;;;;;;x
hold_a_epic_tournament_LP;Host the Grand Tourney of [Root.Capital.GetName];;;;;;;;;;;;;x
hold_a_epic_tournament_LP_desc;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];;;;;;;;;;;;;x
hold_a_epic_tournament_high_lord;Hold a Regional Tourney;;;;;;;;;;;;;x
hold_a_epic_tournament_high_lord_desc;Let us hold a jousting tournament for the Knights and Lords of our region in [Root.Capital.GetName];;;;;;;;;;;;;x
hold_a_epic_tournament_lord;Hold a Local Tourney;;;;;;;;;;;;;x
hold_a_epic_tournament_lord_desc;Let us hold a small tournament for local Knights and Lords in [Root.Capital.GetName];;;;;;;;;;;;;x
show_me_the_medal_winners;Show Tourney Medal winners;;;;;;;;;;;;;x
show_me_the_medal_winners_desc;Show the medal winners of the latest Tourneys;;;;;;;;;;;;;x
banish_ius_primae_noctis;Banish the Ius Primae Noctis;;;;;;;;;;;;;x
banish_ius_primae_noctis_desc;Banish the Ius Primae Noctis from your realm's lands.;;;;;;;;;;;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;;;;;;;;;;;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;;;;;;;;;;;;;x
bring_out_of_hiding;Call Family out of Hiding;;;;;;;;;;;;;x
bring_out_of_hiding_desc;"Removes ""Hidden in countryside"" from any of your dynasty or spouses at your location.";;;;;;;;;;;;;x
request_important_prisoners;Demand Important Prisoners from Vassals;;;;;;;;;;;;;x
request_important_prisoners_desc;Any prisoners ranked above Baron are transferred to your dungeons.;;;;;;;;;;;;;x
ransom_all;Ransom All Prisoners;Ransom All Prisoners;Ransom All Prisoners;;Ransom All Prisoners;;;;;;;;;x
ransom_all_desc;Make a ransom offer to all prisoners.;Make a ransom offer to all prisoners.;Make a ransom offer to all prisoners.;;Make a ransom offer to all prisoners.;;;;;;;;;x
