#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCprovince_prosperity.10;The Rain is continuing in [Root.GetName] and we haven't seen a blue sky for weeks. We need sufficient rain for our fields, but exessive rain will cause a bad crop in comming autumn.;;;;;;;;;;;;;x
EVTOPTAprovince_prosperity.10;May [Root.Religion.GetRandomGodName] help us!;;;;;;;;;;;;;x
EVTDESCprovince_prosperity.11;The weather in [Root.GetName] is extremely cold in this year. A cool summer is welcome, however poor people are dying at cold and peasants begin to worry about their crops in autumn.;;;;;;;;;;;;;x
EVTOPTAprovince_prosperity.11;[Root.Religion.GetRandomGodName], please help us!;;;;;;;;;;;;;x
EVTDESCprovince_prosperity.12;Because of bad weathers or deamon's work, the crops in [Root.GetName] is terrible in this year. We have to prepare the coming food shortage.;;;;;;;;;;;;;x
EVTOPTAprovince_prosperity.12;Let's hope that we can survive this winter.;;;;;;;;;;;;;x
EVTDESCprovince_prosperity.13;The bad crops brought a serious famine in [Root.GetName]! There is nothing to eat and the peasants sell their family as slave. They might be still happier than the people who have been dead at hungry.;;;;;;;;;;;;;x
EVTOPTAprovince_prosperity.13;Buy foods and help poor peasants and citizens!;;;;;;;;;;;;;x
EVTOPTBprovince_prosperity.13;Let them eat cake!;;;;;;;;;;;;;x
EVTDESCprovince_prosperity.14;Thanks to the protection of [Root.Religion.GetRandomGodName], we had good crops in [Root.GetName]. We can hold a great harvest feast in this year!;;;;;;;;;;;;;x
EVTOPTAprovince_prosperity.14;We won't have to worry about the winter!;;;;;;;;;;;;;x
EVTDESCcoronation.1;I expressed my wishes and desires for a coronation in Rome to his Holiness the Pope. Hopefully he will accept my request so that I can begin inviting my lords to attend the coronation ceremony.;;;;;;;;;;;;;x
EVTOPTAcoronation.1;He better accept!;;;;;;;;;;;;;x
EVTDESCcoronation.2;To The most Reverend and Blessed Apostolic Pope,\n\nI would like to ask you for your blessing in my rule as Emperor by officially holding a coronation ceremony in my honour.\n\nYour most devoted subject,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAcoronation.2;Send a reply that I would support his coronation.;;;;;;;;;;;;;x
EVTOPTBcoronation.2;He asks me to crown him? Who does he think he is!;;;;;;;;;;;;;x
EVTDESCcoronation.3;To the most devout and serene [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to offer you my blessing to allow your coronation in Rome, as Most Pious [Root.GetTitledFirstName], under my guidance.\n Yours, \n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTAcoronation.3;Excellent, send out the a message to invite all my lords;;;;;;;;;;;;;x
EVTDESCcoronation.4;To his Majesty [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to inform you that I deem you are not yet worthy and just enough as a ruler to be offered my blessings to become crowned as Most Pious [Root.GetTitledFirstName]. The Lord surely has much faith in you as you have in him, but remember that the honour of receiving His blessing does not come easy and is only for the purest of souls.\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAcoronation.4;Why can't he ever just say: 'No'!;;;;;;;;;;;;;x
EVTDESCcoronation.5;To Noble [Root.GetTitledFirstName],\nYou should be happy to know that, I, [From.GetTitledName], will hold a coronation ceremony in Rome in my honour with the blessing of his Holiness the Pope. You received the honour to be invited to attend the ceremony, which will be held soon in Rome. I await your postive reply.\n\nYour most Holy Lord and Liege,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAcoronation.5;I will write to him that I will attend;;;;;;;;;;;;;x
EVTOPTBcoronation.5;What arrogance! I will inform him about his attitude;;;;;;;;;;;;;x
EVTDESCcoronation.6;[From.GetTitledName] is sorry to inform you that he will not be able to attend the coronation ceremony in Rome as he has more important issues to attend to.;;;;;;;;;;;;;x
EVTOPTAcoronation.6;I have no words for such dishonour;;;;;;;;;;;;;x
EVTNAMEcoronation.7;Most Pious [Root.GetTitledFirstName];;;;;;;;;;;;;x
EVTNAMEcoronation.10;The Papal Coronation;;;;;;;;;;;;;x
EVTDESCcoronation.10;In the name of Christ, I, [Root.GetTitledFirstName], promise, pledge and guarantee in the sight of God and the blessed Apostle Peter that I will be the protector and defender of this holy Roman Church in all ways useful to her, however many, in so far as I am supported by divine assistance according to my knowledge and ability.\n\nToday [Root.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of 'Most Pious [Root.GetTitledFirstName]' and the Imperial Regalia with the blessing of the Pope.;;;;;;;;;;;;;x
EVTDESCcoronation.7;Today I was crowned by his Holiness the Pope and formally received the title of 'Most Pious [Root.GetTitledFirstName]' and the Imperial Regalia with the blessing of the Pope.;;;;;;;;;;;;;x
EVTOPTAcoronation.7;This will strengthen my rule significantly;;;;;;;;;;;;;x
EVTDESCcoronation.8;Today [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of 'Most Pious [From.GetTitledFirstName]' and the Imperial Regalia with the blessing of the Pope. The ceremony was magnificent.;;;;;;;;;;;;;x
EVTOPTAcoronation.8;Long live [From.GetTitledFirstName]!;;;;;;;;;;;;;x
EVTDESCcoronation.9;[From.GetTitledFirstName] has been crowned and received the Imperial Regalia by his holiness the Pope in the St. Basilica in Rome. The divine blessings conveyed by his Holiness the Pope confirm the right of rule over all Imperial lands governed by [From.GetTitledFirstName] and his appointed vassals.;;;;;;;;;;;;;x
EVTOPTAcoronation.9;OK;;;;;;;;;;;;;x
EVTDESCabdication.1;[From.GetTitledFirstName] has decided to offer you the throne when he chose to abdicate.;;;;;;;;;;;;;x
EVTOPTAabdication.1;Grand!;;;;;;;;;;;;;x
EVTDESCabdication.2;Your heir has accepted the throne!;;;;;;;;;;;;;x
EVTDESCflavour_events.0;Pillaging through the ruins of a temple in Tyrus I stumbled across the pieces of a very old cross...;;;;;;;;;;;;;x
EVTOPTAflavour_events.0;I must have found a piece of the Holy cross!;;;;;;;;;;;;;x
EVTDESCflavour_events.1;Prying open a tomb in Tiberias that had been sealed for centuries, I found a very old remains of an Holy man...;;;;;;;;;;;;;x
EVTOPTAflavour_events.1;Could it be... One of the Apostles!;;;;;;;;;;;;;x
EVTDESCflavour_events.2;Safed is finally ours after a horrific siege. Entering the city we rode in the blood of the infidels up to the knees of our horses.;;;;;;;;;;;;;x
EVTOPTAflavour_events.2;Let's sack the castle!;;;;;;;;;;;;;x
EVTDESCflavour_events.3;You hear of the chance of participating in a nearby Duchy's swordsmanship tournament, but since your prowess with a sword is well known you'll have to go under a disguise..;;;;;;;;;;;;;x
EVTOPTAflavour_events.3;I shall go in disguise and show them my great skills!;;;;;;;;;;;;;x
EVTOPTBflavour_events.3;I have a dignity.;;;;;;;;;;;;;x
EVTDESCflavour_events.4;The Pope is really mad at you because your stature is starting to obscure his...;;;;;;;;;;;;;x
EVTOPTAflavour_events.4;He is a great man of the Church.;;;;;;;;;;;;;x
EVTOPTBflavour_events.4;I'm ten times as holy as thy are!;;;;;;;;;;;;;x
EVTOPTCflavour_events.4;I think this gold will make his eyes shine..;;;;;;;;;;;;;x
EVTDESCflavour_events.5;I can't even spell my last name right, and all my fellow vassals and peers are always making fun of my ignorance..;;;;;;;;;;;;;x
EVTOPTAflavour_events.5;I shall get educated at once!;;;;;;;;;;;;;x
EVTOPTBflavour_events.5;Ignorance is a virtue...;;;;;;;;;;;;;x
EVTDESCflavour_events.6;In the midst of battle I find myself with the chance of trying a swift and brilliant move, who could turn the sort of the clash in our favour.;;;;;;;;;;;;;x
EVTOPTAflavour_events.6;It's too risky!;;;;;;;;;;;;;x
EVTOPTBflavour_events.6;Audaces fortuna iuvat.;;;;;;;;;;;;;x
EVTDESCflavour_events.7;My chancellor and fellow peers have just suggested that I organize a fair in the name of knowledge and philosophy!;;;;;;;;;;;;;x
EVTOPTAflavour_events.7;I hate suggestions.;;;;;;;;;;;;;x
EVTOPTBflavour_events.7;This is a grand idea!;;;;;;;;;;;;;x
EVTOPTCflavour_events.7;Make it golden!;;;;;;;;;;;;;x
EVTDESCflavour_events.8;I came up with a brilliant plan to kidnap the daughter of the richest merchant of the realm. Now all that's left is to hire some thugs for the monkey business part.;;;;;;;;;;;;;x
EVTOPTAflavour_events.8;I was only fantasizing.;;;;;;;;;;;;;x
EVTOPTBflavour_events.8;I'll pay them half the ransom.;;;;;;;;;;;;;x
EVTOPTCflavour_events.8;I'll promise them half the ransom and have them  killed by my men before they can get their hands on the gold.;;;;;;;;;;;;;x
EVTDESCflavour_events.9;After years and years of work I came up with a master plan that could reform my demesne down to its roots.;;;;;;;;;;;;;x
EVTOPTAflavour_events.9;Little by little.;;;;;;;;;;;;;x
EVTOPTBflavour_events.9;There's no time to be wasted here!;;;;;;;;;;;;;x
EVTOPTCflavour_events.9;Preservation is the most important thing.;;;;;;;;;;;;;x
EVTDESCjews.8;Your steward tells you that the local Jewish community is asking for permission to hold celebrations for the next Hanukah in the streets of [Root.Capital.GetName].;;;;;;;;;;;;;x
