;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_iberia;Spain;Spain;Spain;;Spain;;;;;;;;;x
e_iberia_adj;Spanish;Spanish;Spanish;;Spanish;;;;;;;;;x
e_albion;Britannia;Britannia;Britannia;;Britannia;;;;;;;;;x
e_albion_adj;Briton;Briton;Briton;;Briton;;;;;;;;;x
e_russia;Rus;Rus;Rus;;Rus;;;;;;;;;x
e_russia_adj;Russian;Russian;Russian;;Russian;;;;;;;;;x
e_hungary;Hungary-Croatia;Hungary-Croatia;Hungary-Croatia;;Hungary-Croatia;;;;;;;;;x
e_hungary_adj;Hungaro-Croatian;Hungaro-Croatian;Hungaro-Croatian;;Hungaro-Croatian;;;;;;;;;x
e_poland;Poland-Lithuania;Poland-Lithuania;Poland-Lithuania;;Poland-Lithuania;;;;;;;;;x
e_poland_adj;Polish-Lithuanian;Polish-Lithuanian;Polish-Lithuanian;;Polish-Lithuanian;;;;;;;;;x
e_france;France;France;France;;France;;;;;;;;;x
e_france_adj;French;French;French;;French;;;;;;;;;x
e_italy;Italy;Italy;Italy;;Italy;;;;;;;;;x
e_italy_adj;Italian;Italian;Italian;;Italian;;;;;;;;;x
e_cordoba;Khilafat Qurtuba;Khilafat Qurtuba;Khilafat Qurtuba;;Khilafat Qurtuba;;;;;;;;;x
e_cordoba_adj;Cordoban;Cordoban;Cordoban;;Cordoban;;;;;;;;;x
k_saxony;Saxony;Saxony;Saxony;;Saxony;;;;;;;;;x
k_saxony_adj;Saxon;Saxon;Saxon;;Saxon;;;;;;;;;x
k_armenia_adj;Armenia;Armenia;Armenia;;Armenia;;;;;;;;;x
k_moldau;Moldova;Moldova;Moldova;;Moldova;;;;;;;;;x
k_moldau_adj;Moldovan;Moldovan;Moldovan;;Moldovan;;;;;;;;;x
k_occitania;Occitania;Occitania;Occitania;;Occitania;;;;;;;;;x
k_occitania_adj;Occitan;Occitan;Occitan;;Occitan;;;;;;;;;x
k_crimea;Krimea;Krimea;Krimea;;Krimea;;;;;;;;;x
k_crimea_adj;Krimean;Krimean;Krimean;;Krimean;;;;;;;;;x
k_greece;Thessalonika;Thessalonika;Thessalonika;;Thessalonika;;;;;;;;;x
k_greece_adj;Thessalonic;Thessalonic;Thessalonic;;Thessalonic;;;;;;;;;x
k_anatolia;Iconium;Iconium;Iconium;;Iconium;;;;;;;;;x
k_anatolia_adj;Iconian;Iconian;Iconian;;Iconian;;;;;;;;;x
k_pomerania;Wends;Wends;Wends;;Wends;;;;;;;;;x
k_pomerania_adj;Wendish;Wendish;Wendish;;Wendish;;;;;;;;;x
k_wallachia;Wallachia;Wallachia;Wallachia;;Wallachia;;;;;;;;;x
k_wallachia_adj;Wallachian;Wallachian;Wallachian;;Wallachian;;;;;;;;;x
k_galicia;Halych-Volyn;Halych-Volyn;Halych-Volyn;;Halych-Volyn;;;;;;;;;x
k_galicia_adj;Galician;Galician;Galician;;Galician;;;;;;;;;x
k_novgorod;Novgorod;Novgorod;Novgorod;;Novgorod;;;;;;;;;x
k_novgorod_adj;Novgorodian;Novgorodian;Novgorodian;;Novgorodian;;;;;;;;;x
k_kiev;Kiev;Kiev;Kiev;;Kiev;;;;;;;;;x
k_kiev_adj;Kievan;Kievan;Kievan;;Kievan;;;;;;;;;x
k_flanders;Netherlands;Netherlands;Netherlands;;Netherlands;;;;;;;;;x
k_flanders_adj;Dutch;Dutch;Dutch;;Dutch;;;;;;;;;x
k_franconia;Franconia;Franconia;Franconia;;Franconia;;;;;;;;;x
k_franconia_adj;Frankish;Frankish;Frankish;;Frankish;;;;;;;;;x
k_terra;Terra Mariana;Terra Mariana;Terra Mariana;;Terra Mariana;;;;;;;;;x
k_terra_adj;Livonian;Livonian;Livonian;;Livonian;;;;;;;;;x
k_nikaea;Nikaea;Nikaea;Nikaea;;Nikaea;;;;;;;;;x
k_nikaea_adj;Nikaeaian;Nikaeaian;Nikaeaian;;Nikaeaian;;;;;;;;;x
k_epirus;Epirus;Epirus;Epirus;;Epirus;;;;;;;;;x
k_epirus_adj;Epirean;Epirean;Epirean;;Epirean;;;;;;;;;x
k_carinthia;Carinthia;Carinthia;Carinthia;;Carinthia;;;;;;;;;x
k_carinthia_adj;Carinthian;Carinthian;Carinthian;;Carinthian;;;;;;;;;x
k_upper_lorraine;Upper Lorraine;Upper Lorraine;Upper Lorraine;;Upper Lorraine;;;;;;;;;x
k_upper_lorraine_adj;Upper Lorranian;Upper Lorranian;Upper Lorranian;;Upper Lorranian;;;;;;;;;x
k_lower_lorraine;Lower Lorraine;Lower Lorraine;Lower Lorraine;;Lower Lorraine;;;;;;;;;x
k_lower_lorraine_adj;Lower Lorranian;Lower Lorranian;Lower Lorranian;;Lower Lorranian;;;;;;;;;x
k_cilician;Cilicia;Cilicia;Cilicia;;Cilicia;;;;;;;;;x
k_cilician_adj;Cilician;Cilician;Cilician;;Cilician;;;;;;;;;x
k_sardinia;Sardinia;Sardinia;Sardinia;;Sardinia;;;;;;;;;x
k_sardinia_adj;Sardinian;Sardinian;Sardinian;;Sardinian;;;;;;;;;x
k_patrimoniumpetri;Patrimonium Sancti Petri;Patrimonium Sancti Petri;Patrimonium Sancti Petri;;Patrimonium Sancti Petri;;;;;;;;;x
k_patrimoniumpetri_adj;Sanctimonialis;Sanctimonialis;Sanctimonialis;;Sanctimonialis;;;;;;;;;x
k_finland;Finland;Finland;Finland;;Finland;;;;;;;;;x
