#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
iqta_tax_0;Minimal Iqta Taxes;Impôts féodaux minimum;Minimale Iqta-Steuer;;;;;;;;;;;x
iqta_tax_0_option;Min;Minimum;Minimal;;;;;;;;;;;x
iqta_tax_0_desc;Vassal lords are expected to make a minimal financial contribution to the greater good of the realm.;;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten.;;;;;;;;;;;x
iqta_tax_1;Small Iqta Taxes;;Kleine Iqta-Steuer;;;;;;;;;;;x
iqta_tax_1_option;Small;Faibles;Klein;;;;;;;;;;;x
iqta_tax_1_desc;Vassal lords are expected to make a small financial contribution to the greater good of the realm.;;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten.;;;;;;;;;;;x
iqta_tax_2;Medium Iqta Taxes;;Mittlere Iqta-Steuer;;;;;;;;;;;x
iqta_tax_2_option;Medium;Normaux;Mittel;;;;;;;;;;;x
iqta_tax_2_desc;Vassal lords are expected to make a moderate financial contribution to the greater good of the realm.;;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen bescheidenen finanziellen Beitrag leisten.;;;;;;;;;;;x
iqta_tax_3;Large Iqta Tax;;Hohe Iqta-Steuer;;;;;;;;;;;x
iqta_tax_3_option;Large;Importants;Hoch;;;;;;;;;;;x
iqta_tax_3_desc;Vassal lords are expected to make a substantial financial contribution to the greater good of the realm.;;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen reichlichen finanziellen Beitrag leisten.;;;;;;;;;;;x
iqta_tax_4;Harsh Iqta Tax;;Strenge Iqta-Steuer;;;;;;;;;;;x
iqta_tax_4_option;Harsh;Lourds;Streng;;;;;;;;;;;x
iqta_tax_4_desc;Vassal lords are expected to make a large financial contribution to the greater good of the realm.;;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten.;;;;;;;;;;;x
iqta_contract_0;Minimal Iqta Levies;;Minimale Iqta-Aushebung;;;;;;;;;;;x
