#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_humble_hedge_knights;Humble Hedge Knights;;;;;;;;;;;;;x
d_humble_hedge_knights_adj;Humble Hedge Knights;;;;;;;;;;;;;x
d_brotherhood_of_the_shield;Brotherhood of the Shield;;;;;;;;;;;;;x
d_brotherhood_of_the_shield_adj;Brotherhood of the Shield;;;;;;;;;;;;;x
d_the_legendary_longbowmen;Legendary Longbowmen;;;;;;;;;;;;;x
d_the_legendary_longbowmen_adj;Legendary Longbowmen;;;;;;;;;;;;;x
d_sons_of_ireland;Sons of Ireland;;;;;;;;;;;;;x
d_sons_of_ireland_adj;Sons of Ireland;;;;;;;;;;;;;x
d_the_lost_company;Lost Company;;;;;;;;;;;;;x
d_the_lost_company_adj;Lost Company;;;;;;;;;;;;;x
d_the_foresters;Foresters;;;;;;;;;;;;;x
d_the_foresters_adj;Foresters;;;;;;;;;;;;;x
d_genovese_crossbow_contingent;Genovese Crossbow Contingent;;;;;;;;;;;;;x
d_genovese_crossbow_contingent_adj;Genovese Crossbow Contingent;;;;;;;;;;;;;x
d_ventura_company;Ventura Company;;;;;;;;;;;;;x
d_ventura_company_adj;Ventura Company;;;;;;;;;;;;;x
d_free_company;Free Company;;;;;;;;;;;;;x
d_free_company_adj;Free Company;;;;;;;;;;;;;x
d_novgorod_guard;Novgorod Guard;;;;;;;;;;;;;x
d_novgorod_guard_adj;Novgorod Guard;;;;;;;;;;;;;x
d_ukko's_thunder;Thunder of Ukko;;;;;;;;;;;;;x
d_ukko's_thunder_adj;Thunder of Ukko;;;;;;;;;;;;;x
d_finnish_band;Finnish Band;;;;;;;;;;;;;x
d_finnish_band_adj;Finnish Band;;;;;;;;;;;;;x
d_the_messengers_of_loki;Messengers of Loki;;;;;;;;;;;;;x
d_the_messengers_of_loki_adj;Messengers of Loki;;;;;;;;;;;;;x
d_the_weeping_blade;Weeping Blade;;;;;;;;;;;;;x
d_the_weeping_blade_adj;Weeping Blade;;;;;;;;;;;;;x
d_the_howling_wind;Howling Wind;;;;;;;;;;;;;x
d_the_howling_wind_adj;Howling Wind;;;;;;;;;;;;;x
d_friends_of_dorothy;Friends of Dorothy;;;;;;;;;;;;;x
d_friends_of_dorothy_adj;Friends of Dorothy;;;;;;;;;;;;;x
d_band_of_the_hawk;Band of the Hawk;;;;;;;;;;;;;x
d_band_of_the_hawk_adj;Band of the Hawk;;;;;;;;;;;;;x
d_grand_alliance;Grand Alliance;;;;;;;;;;;;;x
d_grand_alliance_adj;Grand Alliance;;;;;;;;;;;;;x
d_lettigalian_alliance;Lett Alliance;;;;;;;;;;;;;x
d_lettigalian_alliance_adj;Lett Alliance;;;;;;;;;;;;;x
d_blue_company;Blue Company;;;;;;;;;;;;;x
d_blue_company_adj;Blue Company;;;;;;;;;;;;;x
d_worthy_disciples;Worthy Disciples;;;;;;;;;;;;;x
d_worthy_disciples_adj;Worthy Disciples;;;;;;;;;;;;;x
d_trusty_swords;Trusty Swords;;;;;;;;;;;;;x
d_trusty_swords_adj;Trusty Swords;;;;;;;;;;;;;x
d_danzig_pact;Danzig Pact;;;;;;;;;;;;;x
d_danzig_pact_adj;Danzig Pact;;;;;;;;;;;;;x
d_white_russians;White Russians;;;;;;;;;;;;;x
d_white_russians_adj;White Russians;;;;;;;;;;;;;x
d_merry_footmen;Merry Footmen;;;;;;;;;;;;;x
d_merry_footmen_adj;Merry Footmen;;;;;;;;;;;;;x
d_polish_cavalrymen;Polish Cavalrymen;;;;;;;;;;;;;x
d_polish_cavalrymen_adj;Polish Cavalrymen;;;;;;;;;;;;;x
d_mountain_band;Mountain Band;;;;;;;;;;;;;x
d_mountain_band_adj;Mountain Band;;;;;;;;;;;;;x
d_dnieper_alliance;Dnieper Alliance;;;;;;;;;;;;;x
d_dnieper_alliance_adj;Dnieper Alliance;;;;;;;;;;;;;x
d_night_patrol;Night Patrol;;;;;;;;;;;;;x
d_night_patrol_adj;Night Patrol;;;;;;;;;;;;;x
d_company_of_the_bear;Company of the Bear;;;;;;;;;;;;;x
d_company_of_the_bear_adj;Company of the Bear;;;;;;;;;;;;;x
d_snow_warriors;Snow Warriors;;;;;;;;;;;;;x
d_snow_warriors_adj;Snow Warriors;;;;;;;;;;;;;x
d_bowmen_of_the_valley;Bowmen of the Valley;;;;;;;;;;;;;x
d_bowmen_of_the_valley_adj;Bowmen of the Valley;;;;;;;;;;;;;x
d_pikes_of_geneve;Pikes of Geneve;;;;;;;;;;;;;x
d_pikes_of_geneve_adj;Pikes of Geneve;;;;;;;;;;;;;x
d_titans_of_lorraine;Titans of Lorraine;;;;;;;;;;;;;x
d_titans_of_lorraine_adj;Titans of Lorraine;;;;;;;;;;;;;x
d_dutch_freemen;Dutch Freemen;;;;;;;;;;;;;x
d_dutch_freemen_adj;Dutch Freemen;;;;;;;;;;;;;x
d_footmen_of_the_owl;Footmen of the Owl;;;;;;;;;;;;;x
d_footmen_of_the_owl_adj;Footmen of the Owl;;;;;;;;;;;;;x
d_knights_of_the_golden_circle;Knights of the Golden Circle;;;;;;;;;;;;;x
d_knights_of_the_golden_circle_adj;Knights of the Golden Circle;;;;;;;;;;;;;x
d_mercantile_guard;Mercantile Guard;;;;;;;;;;;;;x
d_mercantile_guard_adj;Mercantile Guard;;;;;;;;;;;;;x
d_knights_of_the_iron_gauntlet;Knights of the Iron Gauntlet;;;;;;;;;;;;;x
d_knights_of_the_iron_gauntlet_adj;Knights of the Iron Gauntlet;;;;;;;;;;;;;x
d_knights_of_the_crescent_moon;Knights of the Crescent Moon;;;;;;;;;;;;;x
d_knights_of_the_crescent_moon_adj;Knights of the Crescent Moon;;;;;;;;;;;;;x
d_knights_of_the_radiant_sun;Knights of the Radiant Sun;;;;;;;;;;;;;x
d_knights_of_the_radiant_sun_adj;Knights of the Radiant Sun;;;;;;;;;;;;;x
d_christian_horsemen;Christian Horsemen;;;;;;;;;;;;;x
