#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_insurgent;the Insurgent;the Insurgent;the Insurgent;;the Insurgent;;;;;;;;;x
nick_the_poet;the Poet;the Poet;the Poet;;the Poet;;;;;;;;;x
nick_the_cunning;the Cunning;the Cunning;the Cunning;;the Cunning;;;;;;;;;x
nick_the_meek;the Meek;the Meek;the Meek;;the Meek;;;;;;;;;x
nick_the_impaler;the Impaler;the Impaler;the Impaler;;the Impaler;;;;;;;;;x
nick_the_spider;the Spider;the Spider;the Spider;;the Spider;;;;;;;;;x
nick_the_learned;the Learned;the Learned;the Learned;;the Learned;;;;;;;;;x
nick_the_eloquent;the Eloquent;the Eloquent;the Eloquent;;the Eloquent;;;;;;;;;x
nick_the_indolent;the Indolent;the Indolent;the Indolent;;the Indolent;;;;;;;;;x
nick_the_hunchback;the Hunchback;the Hunchback;the Hunchback;;the Hunchback;;;;;;;;;x
nick_the_affable;the Affable;the Affable;the Affable;;the Affable;;;;;;;;;x
nick_the_leper;the Leper;the Leper;the Leper;;the Leper;;;;;;;;;x
nick_the_prudent;the Prudent;the Prudent;the Prudent;;the Prudent;;;;;;;;;x
nick_the_wolf;the Wolf;the Wolf;the Wolf;;the Wolf;;;;;;;;;x
nick_the_downcast;the Downcast;the Downcast;the Downcast;;the Downcast;;;;;;;;;x
nick_the_mild;the Mild;the Mild;the Mild;;the Mild;;;;;;;;;x
nick_the_scholar;the Scholar;the Scholar;the Scholar;;the Scholar;;;;;;;;;x
nick_the_theologian;the Theologian;the Theologian;the Theologian;;the Theologian;;;;;;;;;x
nick_the_decadent;the Decadent;the Decadent;the Decadent;;the Decadent;;;;;;;;;x
nick_the_vain;the Vain;the Vain;the Vain;;the Vain;;;;;;;;;x
nick_the_stout;the Stout;the Stout;the Stout;;the Stout;;;;;;;;;x
nick_the_ugly;the Ugly;the Ugly;the Ugly;;the Ugly;;;;;;;;;x
nick_the_short;the Dwarf;the Dwarf;the Dwarf;;the Dwarf;;;;;;;;;x
nick_the_planter;the Planter;the Planter;the Planter;;the Planter;;;;;;;;;x
nick_the_rash;the Rash;the Rash;the Rash;;the Rash;;;;;;;;;x
nick_the_parricide;the Parricide;the Parricide;the Parricide;;the Parricide;;;;;;;;;x
nick_the_ilustrious;the Illustrious;the Illustrious;the Illustrious;;the Illustrious;;;;;;;;;x
nick_the_warrior;the Warrior;the Warrior;the Warrior;;the Warrior;;;;;;;;;x
nick_the_mystic;the Mystic;the Mystic;the Mystic;;the Mystic;;;;;;;;;x
nick_the_bad;the Bad;the Bad;the Bad;;the Bad;;;;;;;;;x
nick_the_generous;the Generous;the Generous;the Generous;;the Generous;;;;;;;;;x
nick_the_honorable;the Honorable;the Honorable;the Honorable;;the Honorable;;;;;;;;;x
nick_the_treacherous;the Treacherous;the Treacherous;the Treacherous;;the Treacherous;;;;;;;;;x
nick_the_weak;the Weak;the Weak;the Weak;;the Weak;;;;;;;;;x
nick_the_scarred;the Scarred;the Scarred;the Scarred;;the Scarred;;;;;;;;;x
nick_the_quiet;the Quiet;the Quiet;the Quiet;;the Quiet;;;;;;;;;x
nick_the_shrewd;the Shrewd;the Shrewd;the Shrewd;;the Shrewd;;;;;;;;;x
nick_the_peaceful;the Peaceful;the Peaceful;the Peaceful;;the Peaceful;;;;;;;;;x
nick_the_ambitious;the Ambitious;the Ambitious;the Ambitious;;the Ambitious;;;;;;;;;x
nick_the_truthful;the Truthful;the Truthful;the Truthful;;the Truthful;;;;;;;;;x
nick_the_distrustful;the Distrustful;the Distrustful;the Distrustful;;the Distrustful;;;;;;;;;x
nick_the_quiverfull;Quiverfull;Quiverfull;Quiverfull;;Quiverfull;;;;;;;;;x
nick_the_lewd;the Lewd;the Lewd;the Lewd;;the Lewd;;;;;;;;;x
nick_the_dwarf;the Imp;the Imp;the Imp;;the Imp;;;;;;;;;x
nick_the_fool;the Fool;the Fool;the Fool;;the Fool;;;;;;;;;x
nick_the_black;the Black;the Black;the Black;;the Black;;;;;;;;;x
nick_the_white;the White;the White;the White;;the White;;;;;;;;;x
nick_the_beheader;the Beheader;the Beheader;the Beheader;;the Beheader;;;;;;;;;x
nick_the_mujahid;the Mujahid;the Mujahid;the Mujahid;;the Mujahid;;;;;;;;;x
nick_the_pious;the Pious;the Pious;the Pious;;the Pious;;;;;;;;;x
nick_the_elightened;the Enlightened;the Enlightened;the Enlightened;;the Enlightened;;;;;;;;;x
nick_the_alchemist;the Alchemist;the Alchemist;the Alchemist;;the Alchemist;;;;;;;;;x
nick_ironside;Ironside;Ironside;Ironside;;Ironside;;;;;;;;;x
nick_the_invincible;the Invincible;the Invincible;the Invincible;;the Invincible;;;;;;;;;x
