#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_independent_title;Become Independent;;;;;;;;;;;;;x
obj_independent_desc;This character's current aim is to become independent from his current liege;;;;;;;;;;;;;x
obj_become_duke_title;Become Duke;;;;;;;;;;;;;x
obj_become_duke_desc;This character's current aim is to become a Duke;;;;;;;;;;;;;x
obj_become_king_title;Become King;;;;;;;;;;;;;x
obj_become_king_desc;This character's current aim is to become a King;;;;;;;;;;;;;x
obj_independent_duke_desc;This character's current aim is to break free of his liege and acquire a duchy at the same time.;;;;;;;;;;;;;x
obj_independent_duke_title;Become independent and acquire a duchy;;;;;;;;;;;;;x
obj_ecclesiastical;Ecclesiastical Jurisdiction;;;;;;;;;;;;;x
obj_ecclesiastical_desc;Gain the Pope's recognition of your realm's church jurisdiction;;;;;;;;;;;;;x
obj_ecclesiastical_title;Obtain Ecclesiastical Jurisdiction;;;;;;;;;;;;;x
obj_beatified_dynasty_member_title;Have a dynasty member beatified;;;;;;;;;;;;;x  
obj_beatified_dynasty_member_desc;This character is aming on having a dynasty member beatified.;;;;;;;;;;;;;x       
obj_increase_demesne_1_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_1_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_2_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_2_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_3_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_3_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_4_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_4_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_5_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_5_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_6_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_6_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_7_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_7_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_8_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_8_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_increase_demesne_9_title;Increase Size of Demesne;;;;;;;;;;;;;x
obj_increase_demesne_9_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;;;;;x
obj_become_duke_title;Gain a Duchy;;;;;;;;;;;;;x
obj_become_duke_desc;[This.GetTitledFirstName] is not satisfied with being a mere Count.;;;;;;;;;;;;;x
obj_go_crusade_title;Take the Cross;;;;;;;;;;;;;x
obj_go_crusade_desc;[This.GetTitledFirstName] wants to join the Crusade against the infidels.;;;;;;;;;;;;;x
obj_five_children_title;Have Five Children;;;;;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;;;;;;;;;;;;x
obj_ten_children_title;Have Ten Children;;;;;;;;;;;;;x
obj_ten_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;;;;;;;;;;;;x
obj_find_lover_title;Get a Lover;;;;;;;;;;;;;x
obj_find_lover_desc;[This.GetTitledFirstName] desires the romance and passion of a love affair.;;;;;;;;;;;;;x
obj_become_independent_title;Become Independent;;;;;;;;;;;;;x
obj_become_independent_desc;[This.GetTitledFirstName] desires independence from [This.GetHerHis] tyrannical liege.;;;;;;;;;;;;;x
obj_become_old_60_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_60_desc;[This.GetTitledFirstName] is getting old, but [This.GetSheHe] wants to live until he is at least 60.;;;;;;;;;;;;;x
obj_become_old_70_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_70_desc;[This.GetTitledFirstName] is getting older, but [This.GetSheHe] wants to live until he is at least 70.;;;;;;;;;;;;;x
obj_become_old_80_title;Grow Older;;;;;;;;;;;;;x
obj_become_old_80_desc;[This.GetTitledFirstName] is old, but [This.GetSheHe] wants to live until he is at least 80.;;;;;;;;;;;;;x
obj_become_old_90_title;Grow Older;;;;;;;;;;;;;x
