;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV909;White Desert;Désert Blanc;White Desert;;White Desert;;;;;;;;;x
PROV911;Timbuktu;Timbuktu;Timbuktu;;Timbuktu;;;;;;;;;x
PROV912;Aoudaghost;Aoudaghost;Aoudaghost;;Aoudaghost;;;;;;;;;x
PROV913;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x
PROV914;Gao;Gao;Gao;;Gao;;;;;;;;;x
PROV915;Djenné;Djenné;Djenné;;Djenné;;;;;;;;;x
PROV916;Taghaza;Taghaza;Taghaza;;Taghaza;;;;;;;;;x
PROV917;Araouane;Araouane;Araouane;;Araouane;;;;;;;;;x
PROV918;Sijilmasa;Sijilmasa;Sijilmasa;;Sijilmasa;;;;;;;;;x
PROV919;Oualata;Oualata;Oualata;;Oualata;;;;;;;;;x
PROV920;Ouadane;Ouadane;Ouadane;;Ouadane;;;;;;;;;x
PROV921;Idjil;Idjil;Idjil;;Idjil;;;;;;;;;x
PROV922;Tadmekka;Tadmekka;Tadmekka;;Tadmekka;;;;;;;;;x
PROV923;Adrar Plateau;Adrar Plateau;Adrar Plateau;;Adrar Plateau;;;;;;;;;x
PROV924;Western Sahara;Western Sahara;Western Sahara;;Western Sahara;;;;;;;;;x
PROV925;Mali;Mali;Mali;;Mali;;;;;;;;;x
PROV926;Bambuk;Bambuk;Bambuk;;Bambuk;;;;;;;;;x
PROV927;Zarma;Zarma;Zarma;;Zarma;;;;;;;;;x
PROV928;Gurma;Gurma;Gurma;;Gurma;;;;;;;;;x
PROV929;Aprutium;Aprutium;Aprutium;;Aprutium;;;;;;;;;x
PROV930;Belgard;Belgard;Belgard;;Belgard;;;;;;;;;x
PROV931;Rawa;Rawa;Rawa;;Rawa;;;;;;;;;x
PROV932;Leczyca;Leczyca;Leczyca;;Leczyca;;;;;;;;;x
PROV933;Savona;Savona;Savona;;Savona;;;;;;;;;x
PROV934;Celje;Celje;Celje;;Celje;;;;;;;;;x
PROV935;Aquino;Aquino;Aquino;;Aquino;;;;;;;;;x
PROV936;Amalfi;Amalfi;Amalfi;;Amalfi;;;;;;;;;x
PROV937;Marsico;Marsico;Marsico;;Marsico;;;;;;;;;x
PROV938;Polimilje;Polimilje;Polimilje;;Polimilje;;;;;;;;;x
PROV939;Polybotos;Polybotos;Polybotos;;Polybotos;;;;;;;;;x
PROV940;Mosynopolis;Mosynopolis;Mosynopolis;;Mosynopolis;;;;;;;;;x
PROV941;Amasia;Amasia;Amasia;;Amasia;;;;;;;;;x
PROV942;Saarbrücken;Saarbrücken;Saarbrücken;;Saarbrücken;;;;;;;;;x
PROV943;Sibenik;Sibenik;Sibenik;;Sibenik;;;;;;;;;x
PROV944;Meirionnydd;Meirionnydd;Meirionnydd;;Meirionnydd;;;;;;;;;x
PROV945;Ceredigion;Ceredigion;Ceredigion;;Ceredigion;;;;;;;;;x
PROV946;Dyfed;Dyfed;Dyfed;;Dyfed;;;;;;;;;x
PROV947;Brycheiniog;Brycheiniog;Brycheiniog;;Brycheiniog;;;;;;;;;x
PROV948;Maelienydd;Maelienydd;Maelienydd;;Maelienydd;;;;;;;;;x
PROV949;Powys-Wenwynwyn;Powys-Wenwynwyn;Powys-Wenwynwyn;;Powys-Wenwynwyn;;;;;;;;;x
PROV950;Sillende;Sillende;Sillende;;Sillende;;;;;;;;;x
PROV951;Schwerin;Schwerin;Schwerin;;Schwerin;;;;;;;;;x
PROV952;Hanau;Hanau;Hanau;;Hanau;;;;;;;;;x
PROV953;Bentheim;Bentheim;Bentheim;;Bentheim;;;;;;;;;x
PROV954;Zeitz;Zeitz;Zeitz;;Zeitz;;;;;;;;;x
PROV955;Augsburg;Augsburg;Augsburg;;Augsburg;;;;;;;;;x
PROV956;San Marino;San Marino;San Marino;;San Marino;;;;;;;;;x
PROV957;Reggio-Emilia;Reggio-Emilia;Reggio-Emilia;;Reggio-Emilia;;;;;;;;;x
PROV958;Trieste;Trieste;Trieste;;Trieste;;;;;;;;;x
PROV959;Bihâc;Bihâc;Bihâc;;Bihâc;;;;;;;;;x
PROV960;Lauffen;Lauffen;Lauffen;;Lauffen;;;;;;;;;x
PROV961;Branicevo;Branicevo;Branicevo;;Branicevo;;;;;;;;;x
PROV962;Braslaw;Braslaw;Braslaw;;Braslaw;;;;;;;;;x
PROV963;Jersika;Jersika;Jersika;;Jersika;;;;;;;;;x
PROV964;Roslavl;Roslavl;Roslavl;;Roslavl;;;;;;;;;x
PROV965;Travunia;Travunia;Travunia;;Travunia;;;;;;;;;x
PROV966;Vorotynsk;Vorotynsk;Vorotynsk;;Vorotynsk;;;;;;;;;x
PROV967;Eivissa;Eivissa;Eivissa;;Eivissa;;;;;;;;;x
PROV968;Saone;Saone;Saone;;Saone;;;;;;;;;x
PROV969;Sis;Sis;Sis;;Sis;;;;;;;;;x
PROV970;Comburg;Comburg;Comburg;;Comburg;;;;;;;;;x
PROV971;Philadelphia;Philadelphia;Philadelphia;;Philadelphia;;;;;;;;;x
PROV972;Mersey;Mersey;Mersey;;Mersey;;;;;;;;;x
PROV973;Bearroc;Bearroc;Bearroc;;Bearroc;;;;;;;;;x
PROV974;Buckingham;Buckingham;Buckingham;;Buckingham;;;;;;;;;x
PROV975;Mide;Mide;Mide;;Mide;;;;;;;;;x
PROV976;Roscommon;Roscommon;Roscommon;;Roscommon;;;;;;;;;x
PROV977;Trim;Trim;Trim;;Trim;;;;;;;;;x
PROV978;Merseburg;Merseburg;Merseburg;;Merseburg;;;;;;;;;x
PROV979;Deltuva;Deltuva;Deltuva;;Deltuva;;;;;;;;;x
PROV980;Goslar;Goslar;Goslar;;Goslar;;;;;;;;;x
PROV981;Ansbach;Ansbach;Ansbach;;Ansbach;;;;;;;;;x
PROV982;Prignitz;Prignitz;Prignitz;;Prignitz;;;;;;;;;x
PROV983;Isle of Ely;Isle of Ely;Isle of Ely;;Isle of Ely;;;;;;;;;x
PROV984;Järva;Järva;Järva;;Järva;;;;;;;;;x
PROV985;Sèlija;Sèlija;Sèlija;;Sèlija;;;;;;;;;x
PROV986;Metsepole;Metsepole;Metsepole;;Metsepole;;;;;;;;;x
PROV987;Läänemaa;Läänemaa;Läänemaa;;Läänemaa;;;;;;;;;x
PROV988;Atzele;Atzele;Atzele;;Atzele;;;;;;;;;x
PROV989;Trakai;Trakai;Trakai;;Trakai;;;;;;;;;x
