#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
norse_pagan;Norse Pagan;Norse Pagan;Norse Pagan;;Norse Pagan;;;;;;;;;x
forn_sidr;Forn siðr;Forn siðr;Forn siðr;;Forn siðr;;;;;;;;;x
nyi_sidr;Nýi siðr;Nýi siðr;Nýi siðr;;Nýi siðr;;;;;;;;;x
odinist;Odinist;Odinist;Odinist;;Odinist;;;;;;;;;x
thursarim;þursavolk;þursavolk;þursavolk;;þursavolk;;;;;;;;;x
iron_wolf;Iron Wolf;Iron Wolf;Iron Wolf;;Iron Wolf;;;;;;;;;x
bear_spirit;Spirit of the Great Bear;Spirit of the Great Bear;Spirit of the Great Bear;;Spirit of the Great Bear;;;;;;;;;x
jewish_group;Jewish;Jewish;Jewish;;Jewish;;;;;;;;;x
jewish;Jewish;Jewish;Jewish;;Jewish;;;;;;;;;x
GOD_ADONAI;Adonai;Adonai;Adonai;;Adonai;;;;;;;;;x
GOD_ELOHIM;Elohim;Elohim;Elohim;;Elohim;;;;;;;;;x
jewish_adj;Judaic;Judaic;Judaic;;Judaic;;;;;;;;;x
sephardic_adj;Sephardic;Sephardic;Sephardic;;Sephardic;;;;;;;;;x
slavic_pagan;Slavic;Slavic;Slavic;;Slavic;;;;;;;;;x
GOD_PERUN;Perun;Perun;Perun;;Perun;;;;;;;;;x
GOD_DAZBOG;Dazbog;Dazbog;Dazbog;;Dazbog;;;;;;;;;x
GOD_SVETOVID;Svetovid;Svetovid;Svetovid;;Svetovid;;;;;;;;;x
GOD_SVETOVIDWENDISH;Svantevit;Svantevit;Svantevit;;Svantevit;;;;;;;;;x
GOD_RADEGAST;Radegast;Radegast;Radegast;;Radegast;;;;;;;;;x
other_pagan_group;Pagan;Pagan;Pagan;;Pagan;;;;;;;;;x
pagan_group;Nordic Paganism;Nordic Paganism;Nordic Paganism;;Nordic Paganism;;;;;;;;;x
ebionite;Ebionite;Ebionite;Ebionite;;Ebionite;;;;;;;;;x
neo-essene;Bulgar;Bulgar;Bulgar;;Bulgar;;;;;;;;;x
KITAB_AL_HIKMA;Kitab Al Hikma;Kitab Al Hikma;Kitab Al Hikma;;Kitab Al Hikma;;;;;;;;;x
GOD_LAHUT;Lahut;Lahut;Lahut;;Lahut;;;;;;;;;x
GOD_AL_HAKIM;Al-Hakim;Al-Hakim;Al-Hakim;;Al-Hakim;;;;;;;;;x
baltic_pagan_group;Baltic Paganism;Baltic Paganism;Baltic Paganism;;Baltic Paganism;;;;;;;;;x
GOD_HASHEM;HaShem;HaShem;HaShem;;HaShem;;;;;;;;;x
THE_TORAH;HaTana''ch;HaTana''ch;HaTana''ch;;HaTana''ch;;;;;;;;;x
HOLY_WAR_JEWISH;Milkhemet Mitzvah;Milkhemet Mitzvah;Milkhemet Mitzvah;;Milkhemet Mitzvah;;;;;;;;;x
karaite;Karaite;Karaite;Karaite;;Karaite;;;;;;;;;x
samaritan;Samaritan;Samaritan;Samaritan;;Samaritan;;;;;;;;;x
pagan;Animist;Animist;Animist;;Animist;;;;;;;;;x
african_pagan_group;African Paganism;African Paganism;African Paganism;;African Paganism;;;;;;;;;x
aztec_group;Mesoamerican ;Mesoamerican ;Mesoamerican ;;Mesoamerican ;;;;;;;;;x
GOD_SHEMA;Shema;Shema;Shema;;Shema;;;;;;;;;x
messianist;Messianist;Messianist;Messianist;;Messianist;;;;;;;;;x
judaeochristian;Judaeo-Christian;Judaeo-Christian;Judaeo-Christian;;Judaeo-Christian;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
