#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CATEPANATE_OF;Catepanate of;Catepanate of;Catepanate of;;Catepanate of;;;;;;;;;x
MARQUIS_OF;Marquisate of;Marquisate de;Marquisate of;;Marquisate of;;;;;;;;;x
MARQUIS;Marquis;Marquis;Marquis;;Marquis;;;;;;;;;x
MARQUIS_FOA;Your Excellency;;Your Excellency;;Your Excellency;;;;;;;;;x
ARCHBISHOP_OF;Diocese of;Diocese of;Diocese of;;Diocese of;;;;;;;;;x
ARCHBISHOP;Archbishop;Archbishop;Archbishop;;Archbishop;;;;;;;;;x
ARCHBISHOP_FOA;Your Grace;Your Grace;Your Grace;;Your Grace;;;;;;;;;x
COHEN_HAGADOL_FOA;haCohen;haCohen;haCohen;;haCohen;;;;;;;;;x
COHEN_HAGADOL_OF;Great Sinhedrin of;Great Sinhedrin of;Great Sinhedrin of;;Great Sinhedrin of;;;;;;;;;x
COHEN_HAGADOL;Cohen haGadol;Cohen haGadol;Cohen haGadol;;Cohen haGadol;;;;;;;;;x
GIUDICATO_FOA;Your Highness;Your Highness;Your Highness;;Your Highness;;;;;;;;;x
WARLORD_FOA;Your Lordship;Your Lordship;Your Lordship;;Your Lordship;;;;;;;;;x
WARRIOR_PRIEST_FOA;Your Holiness;Your Holiness;Your Holiness;;Your Holiness;;;;;;;;;x
HAMMER_LORD_FOA;Your Lordship;Your Lordship;Your Lordship;;Your Lordship;;;;;;;;;x
DUKECOUNT;Count;Count;Count;;Count;;;;;;;;;x
DUKECOUNT_FOA;Your Grace;;Your Grace;;Your Grace;;;;;;;;;x
DUKEcounty_of;County of;Comte de;County of;;County of;;;;;;;;;x
DUKEKING;King;Roi;King;;King;;;;;;;;;x
DUKEKING_FOA;Your Highness;Your Highness;Your Highness;;Your Highness;;;;;;;;;x
DUKEkingdom_of;Kingdom of;Royaume de;Kingdom of;;Kingdom of;;;;;;;;;x
DUKEPRINCE;Prince;Prince;Prince;;Prince;;;;;;;;;x
DUKEPRINCE_FOA;Your Highness;Your Highness;Your Highness;;Your Highness;;;;;;;;;x
DUKEPRINCE_OF;Principality of;Principality of;Principality of;;Principality of;;;;;;;;;x
ABBOT_OF;Abbey of;Abbey of;Abbey of;;Abbey of;;;;;;;;;x
VOIVODE;Voivode;Voivode;Voivode;;Voivode;;;;;;;;;x
VOIVODE_OF;Voivodeship of;Voivodeship of;Voivodeship of;;Voivodeship of;;;;;;;;;x
PALATINE;Count Palatine;Count Palatine;Count Palatine;;Count Palatine;;;;;;;;;x
PALATINE_FOA;Your Grace;Your Grace;Your Grace;;Your Grace;;;;;;;;;x
PALATINE_OF;Palatinate of;Palatinate of;Palatinate of;;Palatinate of;;;;;;;;;x
ARCHDUKE;Archduke;Archduke;Archduke;;Archduke;;;;;;;;;x
ARCHduchy_of;Archduchy of;Archduchy of;Archduchy of;;Archduchy of;;;;;;;;;x
GRANDDUKE;Grand Duke;Grand Duke;Grand Duke;;Grand Duke;;;;;;;;;x
GRANDDUKE_FOA;Your Grace;Your Grace;Your Grace;;Your Grace;;;;;;;;;x
GRANDduchy_of;Grand Duchy of;Grand Duchy of;Grand Duchy of;;Grand Duchy of;;;;;;;;;x
DUKEDESPOT;Despot;Despot;Despot;;Despot;;;;;;;;;x
DUKEDESPOT_FOA;Your Lordship;Your Lordship;Your Lordship;;Your Lordship;;;;;;;;;x
DUKEDESPOT_OF;Despotate of;Despotate of;Despotate of;;Despotate of;;;;;;;;;x
title_dauphine_of_france;The Dauphin ofViennois;The Dauphin ofViennois;The Dauphin ofViennois;;The Dauphin ofViennois;;;;;;;;;x
title_dauphine_of_france_FOA;Your Grace;Your Grace;Your Grace;;Your Grace;;;;;;;;;x
KINGDUKE;Duke;Duke;Duke;;Duke;;;;;;;;;x
KINGDUKE_female;Duchess;Duchess;Duchess;;Duchess;;;;;;;;;x
KINGDUKE_FOA;Your Highness;Your Highness;Your Highness;;Your Highness;;;;;;;;;x
KINGduchy_of;Duchy of;Duchy of;Duchy of;;Duchy of;;;;;;;;;x
KINGCA;Duke;Duke;Duke;;Duke;;;;;;;;;x
KINGCA_FOA;Your Highness;Your Highness;Your Highness;;Your Highness;;;;;;;;;x
KINGCA_OF;Duchy of;Duchy of;Duchy of;;Duchy of;;;;;;;;;x
title_kingdom_of_romans;King ofthe Romans;King ofthe Romans;King ofthe Romans;;King ofthe Romans;;;;;;;;;x
title_kingdom_of_romans_FOA;Your Grace;Your Grace;Your Grace;;Your Grace;;;;;;;;;x
title_kingdom_of_romans_desc;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent ofthe holy roman empire.;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent ofthe holy roman empire.;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent ofthe holy roman empire.;;Originally a title preserved for an elected emperor, that had yet to  be crowned by the pope. Later used as title for the heir apparent ofthe holy roman empire.;;;;;;;;;x
